ID|Word|POS|RelationClass|Relation|RootHypernyms|Synonyms|Examples|Count|Prob|Definition|implication|SpatialScale|Enetity
65|left|RB|direction|left|left.r.01|left,3|he looked right and left;the political party has moved left|3|1|toward or on the left; also used figuratively|none|object|living things
66|locally|RB|scale|same|locally.r.01|locally,2|it was locally decided|2|1|by a particular locality|none|object|living things
67|low|RB|direction|down|low.r.01|low,3|the branches hung low|3|1|in a low position; near the ground|none|object|living things
68|near|RB|proximity|near|near.r.01|near,19;nigh,0;close,17|as the wedding day drew near;stood near the door;don't shoot until they come near;getting near to the true explanation;her mother is always near;The end draws nigh;the bullet didn't come close;don't get too close to the fire|19|0.95|near in time or place or relationship|none|object|living things
69|nearby|RB|proximity|near|nearby.r.01|nearby,7|she works nearby;the planets orbiting nearby are Venus and Mars|7|1|not far away in relative terms|none|object|living things
|next to|IN|||||||||||
70|northward|RB|direction|north|north.r.01|north,11;northerly,0;northwards,0;northward,3|they earn more up north;Let's go north!|3|1|in a northern direction|none|object|living things
71|nowhere|RB|direction|north|nowhere.r.01|nowhere,11|I am going nowhere|11|1|not anywhere; in or at or to no place|none|object|living things
72|off|RB|overlay|not_intersect|off.r.03|off,5|clean off the dirt;he shaved off his mustache|5|0.17|no longer on or in contact or attached|none|object|living things
73|on|IN|direction|front|along.r.01|along,25;on,40|we drove along admiring the view;the horse trotted along at a steady pace;the circus traveled on to the next city;move along;march on|40|0.93|with a forward motion|none|object|living things
74|on|IN|overlay|intersect||on,;upon,|on't lean on that ladder;on campus|||in or into contact with|||
75|opposite|RB|direction|across|face-to-face.r.02|face-to-face,0;opposite,0|the two photographs lay face-to-face on the table;lived all their lives in houses face-to-face across the street;they sat opposite at the table|0|1|directly facing each other|none|object|living things
76|out|RB|na|na|out.r.01|out,5|they went out last night|5|1|away from home|none|object|living things
77|out|RB|na|na|out.r.02|out,0|the cat came out from under the bed|0|0|moving or appearing to move away from a place, especially one that is enclosed or hidden; |none|object|living things
78|out|IN|na|na|away.r.02|away,21;out,0|he gave out money to the poor;gave away the tickets|0|0|from one's possession|none|object|living things
79|out of|RB|overlay|not_intersect||outside|they go out of town|||away from a place|||
80|outdoors|RB|na|na|outside.r.01|outside,15;outdoors,2;out_of_doors,3;alfresco,0|in summer we play outside|2|1|outside a building|none|object|living things
81|outside|RB|overlay|not_intersect|outside.r.01|outside,15;outdoors,2;out_of_doors,3;alfresco,0|in summer we play outside|15|0.71|outside a building|none|object|living things
82|outside|RB|na|na|outside.r.02|outside,6|outside, the box is black|6|0.29|on the outside|none|object|living things
83|outward|RB|direction|away|outward.r.01|outward,1;outwards,0|move the needle further outward!|1|1|toward the outside|none|object|living things
84|over|RB|proximity|everywhere|over.r.02|over,2|he is known the world over|2|0.08|throughout an area|none|object|living things
85|over|RB|direction|over|over.r.04|over,0|a roof that hangs over|0|0|beyond the top or upper surface or edge; forward from an upright position; |none|object|living things
86|over|RB|proximity|everywhere|all_over.r.01|all_over,12;over,0|the wallpaper was covered all over with flowers;she ached all over;everything was dusted over with a fine layer of soot|0|0|over the entire area|none|object|living things
87|overhead|RB|direction|above|overhead.r.01|overhead,2|planes were flying overhead|2|0.5|above your head; in the sky|none|object|living things
