ID|Word|IsPreposition|IsAdverb|SemanticRole|SemanticOrder|RelationClass|Relation|Examples|Count|Prob|Definition|implication|SpatialScale|Enetity|Synonyms|RootHypernyms
74|away|0|1|spatial||||turn aside;turn away one's face;glanced away|0|0|in a different direction|none|object|living things|away,0;aside,0|away.r.10
75|away|0|1|spatial||||started setting aside money to buy a car;put something by for her old age;has a nest egg tucked away for a rainy day|0|0|in reserve; not for immediate use|none|object|living things|aside,0;by,0;away,0|aside.r.06
78|backward|0|1|spatial||||set the clocks back an hour;never look back;lovers of the past looking fondly backward|0|0|in or to or toward a past time|none|object|living things|back,15;backward,0|back.r.04
80|backwards|0|1|spatial||||it's easy to get the `i' and the `e' backward in words like `seize' and `siege';the child put her jersey on backward|0|0|in a manner or order or direction the reverse of normal|none|object|living things|backward,2;backwards,0|backward.r.02
82|before|0|1|spatial||||I see the lights of a town ahead;the road ahead is foggy;staring straight ahead;we couldn't see over the heads of the people in front;with the cross of Jesus marching on before|0|0|at or in the front|none|object|living things|ahead,21;in_front,30;before,0|ahead.r.01
85|behind|0|1|spatial||||the clock is almost an hour slow;my watch is running behind|0|0|of timepieces|none|object|living things|behind,0;slow,0|behind.r.03
86|behind|0|1|spatial||||fell behind in his studies;their business was lagging behind in the competition for customers|0|0|in or into an inferior position|none|object|living things|behind,0|behind.r.04
87|behind|0|1|spatial||||he fell behind with his mortgage payments;a month behind in the rent;a company that has been run behindhand for years;in arrears with their utility bills|0|0|in debt|none|object|living things|behind,0;behindhand,0;in_arrears,0|behind.r.05
92|below|0|1|spatial||||see under for further discussion|0|0|further down|none|object|living things|under,0;below,0|under.r.08
98|beyond|0|1|spatial||||agreed to provide essentials but nothing beyond|0|0|in addition|none|object|living things|beyond,0|beyond.r.03
105|down|0|1|spatial||||the story was passed down from father to son|0|0|from an earlier time|none|object|living things|down,0|down.r.04
106|down|0|1|spatial||||he slowly phased down the light until the stage was completely black|0|0|to a lower intensity|none|object|living things|down,0|down.r.05
107|down|0|1|spatial||||the factory went down during the strike;the computer went down again|0|0|in an inactive or inoperative state|none|object|living things|down,0|down.r.06
108|downhill|0|1|spatial||||your performance has been going downhill for a long time now|0|0.5|toward a lower or inferior state|none|object|living things|downhill,0|downhill.r.01
109|downhill|0|1|spatial||||running downhill, he gained a lot of speed|0|0.5|toward the bottom of a hill|none|object|living things|downhill,0|downhill.r.02
119|far|0|1|spatial||||a young man who will go very far|0|0|to an advanced stage or point|none|object|living things|far,0|far.r.05
124|forward|0|1|spatial||||the captain went fore (or forward) to check the instruments|0|0|near or toward the bow of a ship or cockpit of a plane|none|object|living things|fore,0;forward,0|fore.r.01
125|forwards|0|1|spatial||||he faced forward;step forward;she practiced sewing backward as well as frontward on her new sewing machine|0|0.5|at or to or toward the front; (`forrad' and `forrard' are dialectal variations)|none|object|living things|forward,53;forwards,0;frontward,0;frontwards,0;forrad,0;forrard,0|forward.r.01
126|forwards|0|1|spatial||||go ahead;the train moved ahead slowly;the boat lurched ahead;moved onward into the forest;they went slowly forward in the mud|0|0.5|in a forward direction|none|object|living things|ahead,5;onward,0;onwards,0;forward,3;forwards,0;forrader,0|ahead.r.03
133|high|0|1|spatial||||he lives high|0|0|in a rich manner|none|object|living things|high,0;richly,0;luxuriously,0|high.r.03
134|high|0|1|spatial||||he lives high up the river|0|0|far up toward the source|none|object|living things|high,0|high.r.04
139|inside|0|1|spatial||||inwardly, she was raging|0|0|with respect to private feelings|none|object|living things|inwardly,2;inside,0|inwardly.r.01
140|inside|0|1|spatial||||she is very kind at heart|0|0|in reality|none|object|living things|at_heart,2;at_bottom,0;deep_down,0;inside,0;in_spite_of_appearance,0|at_heart.r.01
142|inward|0|1|spatial||||come in;smash in the door|0|0|to or toward the inside of|none|object|living things|in,19;inwards,0;inward,0|in.r.01
145|locally|0|1|spatial||||apply this medicine topically|0|0|to a restricted area of the body|none|object|living things|locally,0;topically,0|locally.r.02
158|onward|0|1|spatial||||from that time forth;from the sixth century onward|0|0.5|forward in time or order or degree|none|object|living things|forth,1;forward,5;onward,0|forth.r.02
159|onward|0|1|spatial||||go ahead;the train moved ahead slowly;the boat lurched ahead;moved onward into the forest;they went slowly forward in the mud|0|0.5|in a forward direction|none|object|living things|ahead,5;onward,0;onwards,0;forward,3;forwards,0;forrader,0|ahead.r.03
160|opposite|0|1|spatial||||the two photographs lay face-to-face on the table;lived all their lives in houses face-to-face across the street;they sat opposite at the table|0|1|directly facing each other|none|object|living things|face-to-face,0;opposite,0|face-to-face.r.02
162|out|0|1|spatial||||the cat came out from under the bed|0|0|moving or appearing to move away from a place, especially one that is enclosed or hidden; |none|object|living things|out,0|out.r.02
163|out|0|1|spatial||||he gave out money to the poor;gave away the tickets|0|0|from one's possession|none|object|living things|away,21;out,0|away.r.02
171|over|0|1|spatial||||a roof that hangs over|0|0|beyond the top or upper surface or edge; forward from an upright position; |none|object|living things|over,0|over.r.04
172|over|0|1|spatial||||the wallpaper was covered all over with flowers;she ached all over;everything was dusted over with a fine layer of soot|0|0|over the entire area|none|object|living things|all_over,12;over,0|all_over.r.01
188|right|0|1|spatial||||the flower had been correctly depicted by his son;he guessed right|0|0|in an accurate manner|none|object|living things|correctly,6;right,0;aright,0|correctly.r.01
190|sideways|0|1|spatial||||turned sideways to show the profile;crabs seeming to walk sidewise|0|0.25|with one side forward or to the front|none|object|living things|sideways,0;sideway,0;sidewise,0|sideways.r.01
191|sideways|0|1|spatial||||a picture lit sideways;scenes viewed sidewise|0|0.25|from the side; obliquely|none|object|living things|sideway,0;sideways,0;sidewise,0|sideway.r.02
192|sideways|0|1|spatial||||the car slipped sideways into the ditch;leaning sideways;a figure moving sidewise in the shadows|0|0.25|toward one side|none|object|living things|sideways,0;sideway,0;sidewise,2|sideways.r.03
193|sideways|0|1|spatial||||darting eyes looking sidelong out of a wizened face|0|0.25|to, toward or at one side|none|object|living things|sidelong,0;sideways,0;obliquely,0|sidelong.r.03
202|through|0|1|spatial||||this cylinder measures 15 inches through|0|0|in diameter|none|object|living things|through,0|through.r.04
